customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2541,0,0.0,1,0,1.0441386025380877,1,2,0,0,2,0,2,0,0,2,1,1,-0.1319193637626703,3041,0
4479,1,0.0,1,1,0.6794410760776135,1,0,0,2,2,0,2,0,0,0,0,1,-0.14161259531449294,2567,0
4873,0,0.0,0,0,-0.09047592422783171,1,0,0,2,2,0,0,0,0,0,1,0,-0.2805489142239524,959,0
4584,1,0.0,1,1,0.5983971813086193,1,2,1,0,2,0,0,2,2,0,1,2,1.1427405853020205,4019,1
3733,1,0.0,1,0,1.6114458659210473,1,2,0,2,2,2,2,2,2,2,1,1,0.8487125615633974,5135,0
6199,0,0.0,0,1,-0.6172612402262942,1,0,0,0,0,0,0,2,2,0,1,3,0.02317234106649375,184,1
4844,0,0.0,1,1,-0.21204176638132308,1,0,0,2,2,2,2,0,0,1,0,3,0.0700229602336371,1449,0
5194,1,0.0,0,0,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,0,-1.4146570057872132,1610,0
4423,0,0.0,1,1,1.6114458659210473,1,2,1,2,2,0,2,2,0,2,0,0,1.1605115098136958,5644,0
4292,1,0.0,0,0,-1.1035246088402597,1,0,1,0,0,0,0,0,0,0,1,2,0.18472620026353948,2742,1
4656,0,0.0,0,0,0.5578752339241222,1,0,1,0,0,2,0,0,0,0,1,1,0.34951113664452593,3073,0
3828,1,0.0,0,0,0.07161186531015676,1,2,1,0,2,2,0,2,2,0,1,2,1.3689159881778845,3074,1
5803,0,0.0,0,0,-0.860392924533277,1,2,1,0,0,2,0,2,2,0,1,0,1.0942744275429066,202,1
6263,1,0.0,1,1,-0.9009148719177741,1,0,0,0,2,0,0,0,0,1,0,3,-0.466335852300555,4024,0
6671,0,0.0,1,1,1.5304019711520531,1,2,0,2,2,0,0,2,0,2,1,1,0.16857081434383492,4118,0
6956,0,0.0,1,1,-0.6172612402262942,1,0,2,1,1,1,1,1,1,1,0,3,-1.3968860812755384,3572,0
3268,0,0.0,0,0,1.2467483394605732,1,2,0,2,2,2,2,2,0,2,1,1,0.5126805344335421,4105,0
2862,0,0.0,1,0,-0.7793490297642828,1,2,0,2,2,0,2,2,0,0,1,2,0.39474621721969894,6503,0
2599,0,0.0,0,0,0.6794410760776135,1,2,1,0,0,0,0,0,2,0,1,2,0.6629256234867947,3348,0
4212,1,0.0,0,0,-1.225090450993751,1,0,0,0,2,0,0,0,0,0,0,3,-0.4760290838523777,6481,0
5510,0,0.0,0,0,-1.225090450993751,1,0,1,0,0,0,0,2,0,0,1,2,0.5385291519050698,809,1
5427,1,0.0,0,0,0.8010069182311049,1,2,0,2,0,0,2,2,2,2,1,1,0.5094494572496013,3599,0
2047,0,0.0,1,1,1.489880023767556,1,2,0,2,0,2,2,0,0,2,1,1,0.00540141655481881,3625,0
6630,0,0.0,0,0,-0.6983051349952885,1,0,1,2,2,0,0,2,2,0,1,1,1.1346628923421682,789,1
6198,0,0.0,1,1,1.2467483394605732,1,2,1,2,0,0,0,2,2,1,1,1,1.1524338168538435,5104,0
2783,0,0.0,1,1,0.07161186531015676,1,2,2,1,1,1,1,1,1,2,0,1,-1.26118083955002,6314,0
4218,0,0.0,0,0,1.6114458659210473,1,2,1,0,0,2,2,2,2,2,1,1,1.4060733757932051,5937,0
295,0,0.0,1,0,0.5983971813086193,1,2,1,0,0,2,0,2,2,0,1,2,1.179897972917341,3985,0
832,1,0.0,0,0,1.1251824973070819,1,2,1,0,2,0,0,2,0,0,1,0,0.8374037914196043,4530,0
374,0,0.0,1,1,-0.5767392928417971,1,0,0,0,0,2,2,0,0,1,1,1,-0.3096286088794206,6459,0
4043,0,0.0,0,0,-0.9414368193022712,1,2,1,0,0,0,0,2,2,0,0,2,0.9828022646969455,6234,1
3609,0,0.0,0,0,-1.184568503609254,1,0,0,0,2,0,2,2,2,0,1,2,0.36566652256423055,2086,0
6090,1,0.0,1,0,0.5983971813086193,1,2,1,0,2,0,0,0,0,1,1,2,0.4819853011861037,3157,0
2382,0,0.0,0,0,-0.0499539768433346,1,0,0,0,2,2,2,2,2,2,0,3,0.4916785327379264,2143,0
2215,0,0.0,1,1,0.7199630234621106,1,0,2,1,1,1,1,1,1,2,0,0,-1.416272544379184,6399,0
5262,1,0.0,0,0,-0.9009148719177741,1,0,1,2,0,2,0,0,0,0,1,3,0.5126805344335421,6290,0
1562,1,0.0,0,0,-1.2656123983782481,1,0,0,0,0,0,2,0,0,0,0,3,-0.4824912382202596,4137,0
501,0,0.0,1,1,0.8010069182311049,1,0,2,1,1,1,1,1,1,1,1,2,-1.4081948514193317,181,0
5697,1,0.0,1,1,1.206226392076076,1,2,2,1,1,1,1,1,1,2,1,0,-1.2837983798376063,785,0
3994,0,0.0,0,1,-1.184568503609254,1,0,0,2,0,0,2,0,2,0,1,0,0.016710186698611827,1295,0
4550,0,0.0,0,0,0.5578752339241222,1,0,0,0,0,0,0,0,2,1,0,1,-0.26924014408015917,2339,0
3970,0,0.0,1,1,-0.9819587666867683,1,0,0,2,2,0,0,0,0,0,0,3,-0.30155091591956834,4071,0
2731,0,0.0,1,1,0.5173532865396251,1,2,2,1,1,1,1,1,1,1,1,1,-1.2304856063025813,397,0
4191,0,0.0,0,1,-1.2656123983782481,1,0,1,0,0,0,0,2,0,0,1,2,0.4965251485138375,5966,1
6488,0,0.0,1,0,-1.0224807140712655,1,0,1,0,0,2,0,0,0,0,1,0,0.36081990678831943,4199,1
6989,0,0.0,0,0,0.3957874443861337,1,0,1,0,2,2,2,2,2,0,1,0,1.2865235199873912,3682,0
202,0,0.0,1,0,0.6794410760776135,1,0,2,1,1,1,1,1,1,2,1,0,-1.416272544379184,6491,0
3100,1,0.0,0,0,-0.9414368193022712,1,2,1,0,2,0,0,2,2,0,1,1,1.14112504671005,6364,0
3376,0,0.0,1,0,0.11213381269465388,1,0,0,2,0,0,0,2,0,1,1,0,-0.05922012712399972,1852,0
1258,0,0.0,1,1,0.6389191286931164,1,0,2,1,1,1,1,1,1,2,0,0,-1.4001171584594794,108,0
1920,0,0.0,1,1,0.5578752339241222,1,0,2,1,1,1,1,1,1,2,1,3,-1.4227346987470657,6382,0
3345,1,0.0,1,1,-0.09047592422783171,1,0,1,0,2,2,0,0,0,0,0,0,0.5837642324802422,2229,0
5137,1,0.0,1,1,1.3683141816140645,1,2,0,2,0,2,2,2,2,2,1,3,0.6467702375670902,4717,0
4305,0,0.0,0,0,1.3277922342295674,1,2,1,2,2,2,0,2,2,0,1,1,1.5207766158231075,5575,0
6945,1,0.0,0,0,1.6114458659210473,1,2,1,0,2,2,0,2,2,2,1,0,1.1928222816531049,5751,0
6099,0,0.0,0,0,-0.8198709771487799,1,2,1,2,0,0,0,0,0,0,1,2,0.4836008397780741,6384,1
6908,1,0.0,1,1,1.5709239185365502,1,2,0,2,2,0,2,0,0,1,1,1,0.09264050052122313,4018,0
173,1,0.0,0,0,-1.1035246088402597,1,0,2,1,1,1,1,1,1,0,0,3,-1.3871928497237158,252,1
2249,1,0.0,0,0,0.8010069182311049,1,0,2,1,1,1,1,1,1,2,0,0,-1.388808388315686,203,0
4530,1,0.0,0,0,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,3,-1.4146570057872132,1610,0
2575,0,0.0,1,1,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,2,-1.4388900846667703,1483,0
5064,1,0.0,0,0,0.23369965484814523,1,2,1,0,0,2,2,2,0,1,0,0,1.0021887278005908,3122,0
2233,1,0.0,1,0,1.4493580763830587,1,2,1,0,2,2,2,2,2,2,1,0,1.4868503053917281,5833,1
4782,0,0.0,1,1,1.6114458659210473,1,2,1,2,2,0,0,2,2,1,1,2,1.2978322901311847,5672,0
6067,1,0.0,0,0,0.43630939177063083,1,2,1,0,0,0,0,2,2,1,0,3,0.9811867261049747,3358,0
1968,1,0.0,1,1,1.6114458659210473,1,0,2,1,1,1,1,1,1,2,0,1,-1.4405056232587408,658,0
327,1,0.0,1,0,0.9225727603845962,1,2,1,2,2,0,0,2,0,0,1,2,1.058732578519557,4391,1
3173,0,0.0,0,0,0.8010069182311049,1,0,0,2,0,2,2,0,0,1,0,1,-0.194925368849518,2642,0
4055,0,0.0,0,0,0.43630939177063083,1,0,1,0,2,2,0,2,0,0,1,2,0.8939476421385704,3380,0
2142,1,0.0,1,1,-1.184568503609254,1,0,1,2,2,0,0,2,0,0,0,2,0.8357882528276336,2128,0
3763,0,0.0,1,1,-0.9009148719177741,1,2,1,2,0,0,0,2,2,0,1,2,1.1718202799574888,124,1
5961,0,0.0,0,0,0.35526549700163657,1,0,2,1,1,1,1,1,1,2,0,3,-1.4001171584594794,6160,0
6644,1,0.0,1,1,-0.21204176638132308,1,2,1,0,2,0,2,0,0,0,1,1,0.6855431637743813,1769,0
745,0,0.0,1,1,0.9630947077690933,1,2,1,0,0,2,0,2,2,1,1,1,1.1572804326297546,4581,0
2032,0,0.0,0,0,-1.0630026614557626,1,0,2,1,1,1,1,1,1,0,0,3,-1.3985016198675086,230,0
274,1,0.0,0,0,-1.184568503609254,1,2,1,0,0,0,0,0,0,0,1,2,0.3365868279087626,1931,1
4607,0,0.0,1,1,-1.0224807140712655,1,0,0,2,0,0,0,0,0,0,0,3,-0.4291784646852343,3039,0
5130,0,0.0,1,1,-1.1440465562247568,1,0,2,1,1,1,1,1,1,0,0,3,-1.3936550040915974,5043,0
3222,1,0.0,0,0,0.03108991792565964,1,0,1,2,0,0,2,2,0,2,1,2,0.8067085581721656,2632,0
4794,1,0.0,1,0,1.6114458659210473,1,2,2,1,1,1,1,1,1,2,1,0,-1.3064159201251928,1228,0
2760,1,0.0,0,0,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,3,-1.4291968531149475,1489,0
1989,0,0.0,0,0,-0.7793490297642828,1,2,1,0,0,0,0,0,2,0,1,2,0.7097762426539381,394,0
6058,1,0.0,0,0,1.4088361289985616,1,0,0,0,0,0,2,0,0,2,0,0,-0.43402508046114585,2837,0
1632,1,0.0,0,0,-1.225090450993751,1,0,0,0,0,0,0,0,0,0,0,2,-0.6343518658654824,6058,1
5539,0,0.0,0,0,0.43630939177063083,1,2,2,1,1,1,1,1,1,2,1,1,-1.236947760670463,348,0
5570,0,0.0,0,0,-0.3741295559193116,1,0,1,2,0,0,0,0,0,0,1,0,0.3559732910124079,1304,0
2656,0,0.0,1,1,1.2872702868450703,1,0,2,1,1,1,1,1,1,2,0,3,-1.4146570057872132,510,0
4410,1,0.0,0,1,1.0036166551535906,1,0,2,1,1,1,1,1,1,2,1,3,-1.4340434688908588,319,0
2863,0,0.0,0,0,-0.9819587666867683,1,2,0,2,0,0,2,0,2,0,0,2,0.23157681943068284,4664,1
751,0,0.0,1,0,1.165704444691579,1,2,1,0,2,0,0,2,2,2,1,0,1.1976688974290162,4894,0
1806,1,0.0,0,0,1.2872702868450703,1,2,1,2,2,0,0,0,0,1,1,1,0.6564634691189128,4419,0
4058,0,0.0,1,1,1.3277922342295674,1,2,1,2,2,0,2,2,0,2,1,1,1.1330473537501977,5168,0
4848,1,0.0,0,0,-1.184568503609254,1,0,2,1,1,1,1,1,1,1,0,3,-1.4340434688908588,4983,0
1446,1,0.0,0,0,-1.2656123983782481,1,0,0,0,0,0,0,0,0,0,1,2,-0.5923478624742506,3821,1
4571,1,0.0,0,1,-0.09047592422783171,1,0,0,0,2,2,0,2,0,1,0,1,0.016710186698611827,1528,0
2420,1,0.0,1,1,-0.6983051349952885,1,0,0,0,2,2,2,0,2,0,1,3,0.17826404589565756,141,0
2662,0,0.0,1,1,-0.9819587666867683,1,0,0,0,0,0,2,2,2,0,1,2,0.14756881264821878,4669,0
2724,1,0.0,0,0,-1.0224807140712655,1,2,1,0,0,0,0,2,2,0,0,3,1.0021887278005908,5236,1
1140,0,0.0,1,1,1.5304019711520531,1,2,1,2,2,2,0,2,2,1,1,1,1.4270753774888214,5988,0
6408,1,0.0,1,1,1.206226392076076,1,0,0,2,2,2,2,2,2,2,0,2,0.7146228584298492,4370,0
2144,0,0.0,1,1,-1.0630026614557626,1,0,2,1,1,1,1,1,1,0,0,3,-1.430812391706918,250,0
4643,0,0.0,1,1,-0.7388270823797857,1,0,1,0,0,0,0,0,2,0,1,0,0.5466068448649221,290,0
6472,0,0.0,0,0,-0.4146515033038087,1,2,1,0,0,0,0,2,0,0,1,0,0.6516168533430018,1378,0
1893,1,0.0,1,1,-0.4146515033038087,1,0,2,1,1,1,1,1,1,1,0,3,-1.416272544379184,3583,0
4522,1,0.0,1,1,-0.6577831876107914,1,0,0,2,0,2,0,2,0,2,0,3,0.008632493738759541,51,0
5349,1,0.0,0,0,-0.9009148719177741,1,2,2,1,1,1,1,1,1,2,0,0,-1.236947760670463,2166,0
6353,0,0.0,0,1,-0.7793490297642828,1,0,0,2,2,0,0,0,0,0,1,2,-0.25793137393636595,5845,0
589,0,0.0,1,0,-0.4956953980728029,1,2,1,2,0,0,0,0,0,0,0,2,0.5950730026240357,1047,1
3124,0,0.0,0,0,-1.225090450993751,1,0,1,0,0,0,0,0,0,0,1,2,0.18472620026353948,639,0
3250,1,0.0,0,0,0.841528865615602,1,2,0,0,2,2,2,0,2,2,1,0,0.320431441989058,3383,0
2015,0,0.0,1,1,-0.860392924533277,1,0,2,1,1,1,1,1,1,1,0,3,-1.4017326970514496,1966,0
4498,1,0.0,1,0,1.489880023767556,1,0,2,1,1,1,1,1,1,2,0,3,-1.4243502373390362,659,0
2359,0,0.0,0,0,-1.1440465562247568,1,0,1,0,0,0,0,0,0,0,1,0,0.22349912647083056,2373,1
4259,1,0.0,1,0,1.6114458659210473,1,2,0,2,2,2,2,2,2,2,1,0,0.8099396353561064,5071,0
794,0,0.0,1,1,-0.6577831876107914,1,0,2,1,1,1,1,1,1,0,0,2,-1.4081948514193317,2790,0
5437,1,0.0,1,0,0.43630939177063083,1,0,1,2,0,2,2,0,0,1,1,0,0.6548479305269425,3064,0
1269,0,0.0,1,0,-1.225090450993751,1,2,1,0,0,2,2,2,2,0,1,2,1.305909983091037,2066,1
4780,1,0.0,1,0,-0.7388270823797857,1,0,0,0,2,2,2,2,2,2,0,3,0.5805331552963016,339,0
475,0,0.0,1,0,0.841528865615602,1,0,1,0,0,2,0,2,2,1,1,0,0.9973421120246793,4239,1
4190,0,0.0,0,0,-0.009432029458837478,1,0,2,1,1,1,1,1,1,1,0,0,-1.4033482356434204,5230,0
1185,0,0.0,1,0,0.07161186531015676,1,2,2,1,1,1,1,1,1,0,0,2,-1.2692585325098722,5917,0
4211,0,0.0,1,1,-0.6983051349952885,1,2,1,0,2,2,0,2,2,0,1,0,1.3366052163384754,1001,0
2597,1,0.0,1,0,1.165704444691579,1,0,2,1,1,1,1,1,1,1,1,1,-1.4033482356434204,459,0
4663,0,0.0,0,0,-1.2656123983782481,1,0,0,0,0,0,0,0,0,0,0,3,-0.6036566326180439,3816,0
6592,1,0.0,0,0,-0.9819587666867683,1,2,1,0,0,0,0,0,2,0,0,0,0.6629256234867947,5278,1
3926,1,0.0,1,1,0.03108991792565964,1,0,0,2,0,2,0,2,2,1,0,1,0.3478955980525556,2104,0
1288,0,0.0,0,0,-0.7793490297642828,1,0,1,0,2,2,0,0,0,0,1,2,0.4932940713298968,216,1
3405,1,0.0,0,0,-0.4956953980728029,1,0,0,0,2,0,0,0,0,0,1,3,-0.39363661566188446,48,0
653,0,0.0,0,0,-0.7793490297642828,1,0,2,1,1,1,1,1,1,1,0,2,-1.4324279302988885,2090,0
5691,0,0.0,1,0,0.31474354961713946,1,2,0,0,2,0,0,0,0,0,0,1,-0.2385449108327204,2015,0
5047,1,0.0,1,1,0.43630939177063083,1,2,0,2,0,0,2,0,2,1,1,1,0.2558098983102397,2757,0
1695,1,0.0,1,0,-1.0630026614557626,1,0,1,0,2,2,0,0,2,0,1,2,0.8729456404429542,4440,1
2076,0,0.0,1,1,1.489880023767556,1,0,2,1,1,1,1,1,1,2,0,0,-1.4291968531149475,678,0
6816,0,0.0,1,1,1.6114458659210473,1,2,1,2,2,2,0,2,2,2,0,1,1.4771570738399054,6076,0
1454,1,0.0,1,1,1.0846605499225848,1,0,2,1,1,1,1,1,1,2,0,1,-1.4437367004426818,359,0
1780,0,0.0,1,0,-0.4956953980728029,1,0,1,2,2,0,2,2,0,0,1,2,1.052270424151675,1502,0
6483,1,0.0,1,1,-0.3336076085348144,1,2,2,1,1,1,1,1,1,2,1,0,-1.2886449956135178,4822,0
4373,1,0.0,0,0,1.0846605499225848,1,2,1,0,2,2,2,2,2,0,1,2,1.5304698473749303,5218,0
5162,1,0.0,1,1,1.6114458659210473,1,2,1,0,2,2,2,2,2,2,1,0,1.5595495420303986,6038,0
2549,1,0.0,0,1,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,3,-1.3968860812755384,1621,0
6561,0,0.0,1,0,-0.21204176638132308,1,0,1,2,0,0,2,2,2,1,1,1,1.2251330534925142,2333,0
6032,0,0.0,0,0,-0.7388270823797857,1,0,1,0,2,0,2,0,0,0,1,1,0.519142688801424,218,0
2347,1,0.0,1,1,1.5709239185365502,1,2,1,2,0,2,0,2,2,2,0,2,1.3430673707063572,5730,0
4994,1,0.0,0,1,-0.7793490297642828,1,0,1,0,0,0,0,2,0,0,1,1,0.462598838082458,72,0
6461,1,0.0,0,0,0.47683133915512793,1,0,1,0,0,0,0,0,0,0,0,1,0.15726204420004145,2552,0
5456,0,0.0,0,0,0.03108991792565964,1,0,1,0,2,0,2,0,0,1,1,0,0.5159116116174832,2336,0
884,1,0.0,0,0,-1.2656123983782481,1,0,1,0,0,0,0,0,2,0,0,2,0.5142960730255128,5974,1
5558,0,0.0,0,0,-0.5362173454573,1,0,1,2,0,2,2,2,2,0,1,2,1.3769936811377368,1536,1
929,1,0.0,1,0,1.2872702868450703,1,0,1,0,2,2,2,2,2,1,1,1,1.242903978004189,5291,0
5567,1,0.0,0,0,-1.225090450993751,1,0,0,0,0,0,0,0,0,0,1,1,-0.5810390923304574,6174,1
5094,1,0.0,0,1,1.165704444691579,1,0,2,1,1,1,1,1,1,2,0,3,-1.4291968531149475,237,0
3303,0,0.0,1,1,-0.13099787161232884,1,0,2,1,1,1,1,1,1,1,0,2,-1.4211191601550952,4493,0
1377,1,0.0,1,1,1.3277922342295674,1,2,0,0,2,2,2,2,2,2,1,0,0.6532323919349722,4450,0
4605,0,0.0,0,0,-0.9819587666867683,1,0,1,0,0,0,0,2,0,0,1,0,0.5175271502094536,5063,0
6621,0,0.0,0,0,-1.1440465562247568,1,0,1,0,0,0,0,0,0,0,1,2,0.1992660475912737,2329,1
3098,0,0.0,1,0,1.5709239185365502,1,2,2,1,1,1,1,1,1,2,0,0,-1.2676429939179017,1390,0
4585,1,0.0,1,1,-1.2656123983782481,1,0,2,1,1,1,1,1,1,1,1,2,-1.4146570057872132,1610,0
507,1,0.0,1,0,-1.1440465562247568,1,0,0,0,0,0,2,0,0,0,0,3,-0.45018046638085046,1326,1
4226,0,0.0,0,0,-0.8198709771487799,1,0,2,1,1,1,1,1,1,1,1,0,-1.442121161850711,1807,0
4496,0,0.0,1,1,-0.0499539768433346,1,0,0,2,0,2,2,2,2,1,1,3,0.5546845378247743,2198,0
1521,0,0.0,1,0,-1.2656123983782481,1,0,0,0,0,0,0,2,0,0,0,3,-0.2837799914078932,4560,1
3377,1,0.0,0,0,-0.09047592422783171,1,2,1,0,0,0,2,0,2,0,1,1,0.8374037914196043,2365,0
645,0,0.0,1,1,0.5983971813086193,1,2,0,2,2,0,2,2,2,2,1,1,0.688774240958322,3495,0
1816,1,0.0,0,0,0.8820508130000991,1,2,1,2,2,0,2,2,2,2,1,1,1.4222287617129097,4756,0
2316,1,0.0,0,0,0.7199630234621106,1,0,1,2,2,0,2,0,2,0,1,1,0.9537225700414771,4015,0
6313,1,0.0,0,0,-1.2656123983782481,1,0,1,2,0,0,0,0,2,0,1,3,0.6661567006707355,6175,1
5038,0,0.0,0,0,1.6114458659210473,1,0,2,1,1,1,1,1,1,2,0,1,-1.413041467195243,1016,0
1334,0,0.0,0,0,-0.13099787161232884,1,2,2,1,1,1,1,1,1,0,0,2,-1.2547186851821381,5529,0
861,1,0.0,0,0,-1.225090450993751,1,2,0,0,2,0,0,0,0,0,1,3,-0.3096286088794206,269,1
6977,1,0.0,1,0,-0.5767392928417971,1,2,1,0,0,0,0,0,0,0,1,2,0.29619836310950115,561,0
6505,1,0.0,0,0,-0.6577831876107914,1,0,2,1,1,1,1,1,1,2,0,3,-1.4291968531149475,2456,0
5190,0,0.0,0,0,1.6114458659210473,1,2,0,0,2,2,2,2,2,2,0,0,0.7307782443495539,5128,0
4685,1,0.0,0,0,1.6114458659210473,1,2,1,0,2,2,2,2,2,2,0,0,1.4610016879202008,5946,0
5364,0,0.0,1,1,0.35526549700163657,1,0,0,2,0,0,2,2,2,1,1,1,0.3462800594605852,2771,0
187,1,0.0,0,0,0.35526549700163657,1,2,0,0,0,2,0,0,2,1,0,3,0.0328655726183164,2187,0
207,1,0.0,0,0,-1.2656123983782481,1,0,0,2,0,0,0,0,0,0,1,3,-0.4986466241399642,4051,1
655,1,0.0,0,0,0.3957874443861337,1,2,1,2,2,2,0,0,2,1,1,2,1.1314318151582274,3653,0
2854,0,0.0,1,0,0.7604849708466078,1,0,1,2,2,2,0,2,0,1,1,2,0.9537225700414771,3921,0
3232,0,0.0,1,1,-1.225090450993751,1,0,1,0,0,0,0,0,0,0,0,2,0.20734374055112598,864,1
2297,1,0.0,0,1,-0.009432029458837478,1,2,0,0,2,2,2,2,2,1,0,1,0.6370770060152675,2280,0
2571,1,0.0,0,0,-0.9009148719177741,1,0,2,1,1,1,1,1,1,0,1,3,-1.4259657759310065,1529,0
4991,0,0.0,1,1,1.165704444691579,1,2,1,2,2,2,2,2,2,2,0,1,1.6516352417727145,5524,0
4727,1,0.0,0,0,0.7199630234621106,1,2,1,2,2,2,2,2,2,1,0,1,1.6274021628931576,4775,0
3504,0,0.0,1,0,-1.225090450993751,1,0,0,0,0,0,0,0,0,0,1,1,-0.6262741729056301,6021,1
1311,0,0.0,1,0,0.5173532865396251,1,2,1,2,2,2,2,2,2,1,0,3,1.593475852461778,4263,0
76,0,0.0,1,1,1.165704444691579,1,2,0,2,2,2,2,2,2,2,0,3,0.7792444021086675,4589,0
4463,1,0.0,0,0,0.7199630234621106,1,2,2,1,1,1,1,1,1,2,0,0,-1.2627963781419904,363,0
4481,1,0.0,0,0,1.0846605499225848,1,0,2,1,1,1,1,1,1,2,0,3,-1.442121161850711,196,1
4988,0,0.0,1,0,1.5709239185365502,1,2,2,1,1,1,1,1,1,2,1,1,-1.2837983798376063,1241,0
5420,1,0.0,1,0,1.0036166551535906,1,0,0,2,2,0,2,0,0,2,1,2,-0.13676597953858163,2987,0
4207,1,0.0,0,0,-1.2656123983782481,1,0,1,0,0,0,0,0,0,0,0,3,0.21380589491900745,5513,1
4562,1,0.0,1,0,-1.1035246088402597,1,2,1,0,2,0,2,0,0,0,1,2,0.6920053181422632,3422,1
3127,0,0.0,1,0,0.8010069182311049,1,2,1,0,2,2,0,2,2,0,1,2,1.3269119847866526,4658,1
2899,0,0.0,0,0,-1.1035246088402597,1,0,0,0,2,0,0,0,0,0,0,0,-0.43402508046114585,2089,0
199,0,0.0,0,0,-1.0630026614557626,1,0,0,2,2,0,0,0,0,0,0,3,-0.28539552999986373,2803,0
5855,0,0.0,0,0,-0.9009148719177741,1,0,0,0,2,0,0,0,0,0,0,2,-0.41302307876552974,4212,0
1411,0,0.0,0,1,-1.2656123983782481,1,2,2,1,1,1,1,1,1,0,0,3,-1.2466409922222859,2155,0
6747,0,0.0,0,0,1.4493580763830587,1,2,0,2,0,0,0,0,0,0,0,3,-0.30801307028745,3176,0
6698,1,0.0,1,1,-0.5767392928417971,1,0,1,0,0,2,0,2,2,0,0,3,1.0070353435765025,1306,1
4399,0,0.0,0,0,-0.4146515033038087,1,2,1,0,0,0,0,0,0,1,1,1,0.38828406285181705,1316,0
2685,0,0.0,0,0,-0.4956953980728029,1,0,0,0,0,0,0,0,0,0,1,2,-0.6343518658654824,6383,0
3967,1,0.0,1,0,-1.2656123983782481,1,0,1,0,0,0,0,0,0,0,0,2,0.19441943181536214,5501,1
2504,1,0.0,0,0,-0.9009148719177741,1,0,0,0,0,0,0,0,0,0,1,1,-0.6181964799457779,3698,1
2620,1,0.0,0,0,0.11213381269465388,1,0,0,2,2,2,0,0,0,1,0,3,-0.08991536037143827,1655,0
1576,1,0.0,1,1,-0.3741295559193116,1,0,1,0,2,2,2,0,0,1,0,3,0.7372403987174357,1544,0
1071,0,0.0,0,0,-0.8198709771487799,1,0,2,1,1,1,1,1,1,0,0,3,-1.430812391706918,1823,0
5828,1,0.0,0,0,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,3,-1.413041467195243,1611,0
4646,0,0.0,1,1,1.5709239185365502,1,0,1,0,0,2,0,0,0,2,0,2,0.3898996014437874,4517,0
